permissions	size	month	day	year	filename
-rw-r--r--		296	Jan	21	2020	./nj_bills.iml
-rw-rw----		2471	Feb		6	2020	./scrape/htmlToJson.js
-rw-rw----		2510	Feb		6	2020	./scrape/nj.js
-rw-r-----@		91320	Jan	22	2020	./scrape/s3/nj/2018-2019/A10.html
-rw-r-----@		41198	Jan	29	2020	./scrape/s3/nj/2018-2019/list1.html
-rw-rw----		2443	Jan	28	2020	./scrape/s3/nj/2018-2019/A10.json
-rw-rw----		39983	Feb		5	2020	./scrape/s3/nj/LIS2018/billListPage-13.html
-rw-rw----		423	Feb		5	2020	./scrape/s3/nj/LIS2018/billListPage-11.json
-rw-rw----		39061	Feb		5	2020	./scrape/s3/nj/LIS2018/billListPage-15.html
-rw-rw----		38617	Feb		5	2020	./scrape/s3/nj/LIS2018/billListPage-5.html
-rw-rw----		419	Feb		5	2020	./scrape/s3/nj/LIS2018/billListPage-7.json
-rw-rw----		38683	Feb		5	2020	./scrape/s3/nj/LIS2018/billListPage-7.html
-rw-rw----		419	Feb		5	2020	./scrape/s3/nj/LIS2018/billListPage-5.json
-rw-rw----		423	Feb		5	2020	./scrape/s3/nj/LIS2018/billListPage-15.json
-rw-rw----		38708	Feb		5	2020	./scrape/s3/nj/LIS2018/billListPage-11.html
-rw-rw----		423	Feb		5	2020	./scrape/s3/nj/LIS2018/billListPage-13.json
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1012.html
-rw-rw----		38718	Feb		3	2020	./scrape/s3/tmp/billPageLister-359.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-709.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-973.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-420.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-565.html
-rw-rw----		38984	Feb		3	2020	./scrape/s3/tmp/billPageLister-135.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-836.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1045.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1100.html
-rw-rw----		38986	Feb		3	2020	./scrape/s3/tmp/billPageLister-58.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-477.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-924.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-861.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-498.html
-rw-rw----		38799	Feb		3	2020	./scrape/s3/tmp/billPageLister-162.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-532.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1053.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1116.html
-rw-rw----		39383	Feb		3	2020	./scrape/s3/tmp/billPageLister-318.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-748.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-898.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-932.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-461.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-524.html
-rw-rw----		38959	Feb		3	2020	./scrape/s3/tmp/billPageLister-174.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-877.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1004.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1141.html
-rw-rw----		38795	Feb		3	2020	./scrape/s3/tmp/billPageLister-19.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-436.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-965.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-820.html
-rw-rw----		40013	Feb		3	2020	./scrape/s3/tmp/billPageLister-123.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-573.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1090.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-764.html
-rw-rw----		39167	Feb		3	2020	./scrape/s3/tmp/billPageLister-334.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-621.html
-rw-rw----		38701	Feb		3	2020	./scrape/s3/tmp/billPageLister-271.html
-rw-rw----		39912	Feb		3	2020	./scrape/s3/tmp/billPageLister-158.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-508.html
-rw-rw----		39138	Feb		3	2020	./scrape/s3/tmp/billPageLister-62.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-699.html
-rw-rw----		38889	Feb		3	2020	./scrape/s3/tmp/billPageLister-363.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-733.html
-rw-rw----		39159	Feb		3	2020	./scrape/s3/tmp/billPageLister-226.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1028.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-676.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-949.html
-rw-rw----		38832	Feb		3	2020	./scrape/s3/tmp/billPageLister-35.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-725.html
-rw-rw----		39678	Feb		3	2020	./scrape/s3/tmp/billPageLister-375.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-660.html
-rw-rw----		39473	Feb		3	2020	./scrape/s3/tmp/billPageLister-230.html
-rw-rw----		39821	Feb		3	2020	./scrape/s3/tmp/billPageLister-2.html
-rw-rw----		38946	Feb		3	2020	./scrape/s3/tmp/billPageLister-119.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-549.html
-rw-rw----		38585	Feb		3	2020	./scrape/s3/tmp/billPageLister-23.html
-rw-rw----		40440	Feb		3	2020	./scrape/s3/tmp/billPageLister-322.html
-rw-rw----		39207	Feb		3	2020	./scrape/s3/tmp/billPageLister-288.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-772.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1086.html
-rw-rw----		38873	Feb		3	2020	./scrape/s3/tmp/billPageLister-267.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1069.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-637.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-908.html
-rw-rw----		39094	Feb		3	2020	./scrape/s3/tmp/billPageLister-74.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-586.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-990.html
-rw-rw----		38659	Feb		3	2020	./scrape/s3/tmp/billPageLister-139.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-569.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-640.html
-rw-rw----		38696	Feb		3	2020	./scrape/s3/tmp/billPageLister-210.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-705.html
-rw-rw----		39768	Feb		3	2020	./scrape/s3/tmp/billPageLister-355.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-882.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-928.html
-rw-rw----		39890	Feb		3	2020	./scrape/s3/tmp/billPageLister-181.html
-rw-rw----		39503	Feb		3	2020	./scrape/s3/tmp/billPageLister-54.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-494.html
-rw-rw----		39429	Feb		3	2020	./scrape/s3/tmp/billPageLister-247.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1049.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-617.html
-rw-rw----		38997	Feb		3	2020	./scrape/s3/tmp/billPageLister-302.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-752.html
-rw-rw----		38571	Feb		3	2020	./scrape/s3/tmp/billPageLister-42.html
-rw-rw----		39392	Feb		3	2020	./scrape/s3/tmp/billPageLister-197.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-894.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-482.html
-rw-rw----		39258	Feb		3	2020	./scrape/s3/tmp/billPageLister-178.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-528.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-601.html
-rw-rw----		39314	Feb		3	2020	./scrape/s3/tmp/billPageLister-251.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-744.html
-rw-rw----		38446	Feb		3	2020	./scrape/s3/tmp/billPageLister-314.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-969.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-590.html
-rw-rw----		39061	Feb		3	2020	./scrape/s3/tmp/billPageLister-15.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-986.html
-rw-rw----		39131	Feb		3	2020	./scrape/s3/tmp/billPageLister-206.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1008.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-656.html
